# index, label, _pos
452,502538_w,"array([ 6.34207997, -9.08295976])"
453,513396_w,"array([ 6.7098288 , -9.18231125])"
454,2585_i,"array([2.82172479, 0.36292255])"
455,320886_w,"array([2.55489148, 0.54637556])"
456,320969_w,"array([2.85730785, 0.68606008])"
457,2613_i,"array([ 7.36639744, -4.42667108])"
458,153618_w,"array([ 7.30350156, -5.76949506])"
459,592268_w,"array([ 7.28477875, -3.21105874])"
460,2640_i,"array([ 3.58199653, -9.89537244])"
461,586717_w,"array([ 3.78825709, -9.35787236])"
462,26665_i,"array([ 5.4554602 , -8.08966927])"
463,292253_w,"array([ 5.44691238, -7.34823752])"
464,2667_i,"array([ 4.90195989, -7.62128727])"
465,26800_i,"array([ 3.88253427, -7.47292529])"
466,53451_w,"array([ 4.12742893, -6.91177473])"
467,6236_w,"array([ 2.97618682, -7.29209185])"
468,2696_i,"array([ 4.30564845, -8.03629817])"
469,247741_w,"array([ 3.88515862, -8.51939022])"
470,321397_w,"array([ 3.89117279, -8.84790654])"
471,616824_w,"array([ 4.11826111, -8.65723931])"
472,27057_i,"array([ 4.59929234, -5.37495708])"
473,2079_w,"array([ 3.90723831, -4.90932711])"
474,267902_w,"array([ 3.81844503, -5.05766446])"
475,276453_w,"array([ 4.04195733, -4.78880271])"
476,278670_w,"array([ 4.66519439, -5.51860114])"
477,297054_w,"array([ 4.10714748, -5.2526676 ])"
478,302671_w,"array([ 4.22020393, -6.25002884])"
479,308303_w,"array([ 4.07566188, -4.97075231])"
480,308383_w,"array([ 3.8574001 , -5.23156657])"
481,308461_w,"array([ 3.99275919, -5.11325219])"
482,325618_w,"array([ 4.20277187, -5.08790293])"
483,326529_w,"array([ 3.96214618, -5.36569827])"
484,326611_w,"array([ 4.20997279, -4.86000406])"
485,568195_w,"array([ 3.93326822, -4.33733791])"
486,2721_i,"array([ 0.84891697, -0.81164368])"
487,27790_w,"array([ 0.39626345, -0.23775913])"
488,27303_i,"array([ 3.34363989, -5.43565176])"
489,2749_i,"array([ 6.79986495, -5.9407824 ])"
490,15819_w,"array([ 6.00785306, -6.48615951])"
491,282465_w,"array([ 6.14161587, -6.42772525])"
492,291792_w,"array([ 7.45662691, -5.92383347])"
493,321635_w,"array([ 7.15871304, -5.77003548])"
494,321718_w,"array([ 7.29983689, -5.61592156])"
495,321797_w,"array([ 7.28370913, -5.91182771])"
496,27672_i,"array([10.65976091, -4.88603587])"
497,302647_w,"array([10.13314779, -4.93503663])"
498,2777_i,"array([ 8.58024426, -5.0969643 ])"
499,27798_i,"array([ 6.38587913, -6.26379983])"
500,215412_w,"array([ 7.45318613, -5.28437443])"
501,281211_w,"array([ 5.5707274 , -6.45552837])"
502,289209_w,"array([ 6.55280367, -6.94328325])"
503,32194_w,"array([ 6.19295802, -5.83801235])"
